id,name,description,price,stock,is_active,created_at
1,وحدة,شجرة منفردة وسط بياض الثلج. لوحة بسيطة وهادئة تعبّر عن السكون والتأمل، تناسب المساحات الحديثة والمينيماليّة.,200.00,1,True,2026-03-21 02:32:50.709707+00:00
2,ظلال الصفصاف,مشهد مستوحى من فن الآرت ديكو الكلاسيكي، يجمع بين الرقة والحياة. لوحة أنيقة تضفي لمسة راقية على أي غرفة.,2000.00,1,True,2026-03-21 02:33:14.222461+00:00
3,موجات النيون,تموجات لونية نابضة بين الوردي والفيروزي. قطعة عصرية جريئة تناسب عشّاق الفن الرقمي والتصاميم الحديثة.,400.00,1,True,2026-03-21 02:33:33.939763+00:00
4,لوحة 4,,1000.00,1,False,2026-03-21 02:34:01.723996+00:00
5,خريف الذهب,أوراق نحاسية متشابكة يتسلل إليها ضوء دافئ. لوحة طبيعية تبعث على الهدوء وتليق بالمساحات الدافئة,250.00,1,True,2026-03-21 13:59:08.939820+00:00
6,ليل الحرير,تموجات سوداء وزرقاء تشبه الحرير المتدفق. قطعة فاخرة بطابع درامي أنيق، تناسب الديكورات العصرية الراقية.,450.00,1,True,2026-03-21 13:59:37.409613+00:00
9,فسيفساء الروح,وجه أنثوي مكسور بأشكال هندسية ملوّنة. لوحة جريئة تحتفي بتعدد الهويات والمشاعر، مثالية للمساحات الإبداعية.,340.00,1,True,2026-03-22 03:17:13.821773+00:00
11,قرية الضباب,رسمة مائية ناعمة لقرية أوروبية قديمة. تمنح إحساساً بالسفر عبر الزمن، مناسبة للمكاتب والمكتبات المنزلية.,120.00,1,True,2026-03-22 03:19:31.554316+00:00
12,توهّج,يد مضاءة بضوء أحمر وأزرق متقابلين، تعبّر عن التناقض بين الدفء والبرودة. قطعة تصويرية فنية ذات طابع معاصر.,100.00,1,True,2026-03-27 14:16:29.707914+00:00
14,xxx,xxx,200.00,1,False,2026-03-29 05:57:41.175621+00:00
